Datetime,Open,High,Low,Close
2022-02-10 00:00:00+00:00,44347.80078125,44347.80078125,44347.80078125,44347.80078125
2022-02-10 00:01:00+00:00,44389.3203125,44389.3203125,44389.3203125,44389.3203125
2022-02-10 00:02:00+00:00,44373.45703125,44373.45703125,44373.45703125,44373.45703125
2022-02-10 00:03:00+00:00,44347.328125,44347.328125,44347.328125,44347.328125
2022-02-10 00:04:00+00:00,44315.921875,44315.921875,44315.921875,44315.921875
2022-02-10 00:05:00+00:00,44327.46484375,44327.46484375,44327.46484375,44327.46484375
2022-02-10 00:06:00+00:00,44326.69921875,44326.69921875,44326.69921875,44326.69921875
2022-02-10 00:07:00+00:00,44337.484375,44337.484375,44337.484375,44337.484375
2022-02-10 00:08:00+00:00,44318.73046875,44318.73046875,44318.73046875,44318.73046875
2022-02-10 00:09:00+00:00,44316.42578125,44316.42578125,44316.42578125,44316.42578125
2022-02-10 00:10:00+00:00,44304.01953125,44304.01953125,44304.01953125,44304.01953125
2022-02-10 00:11:00+00:00,44302.44921875,44302.44921875,44302.44921875,44302.44921875
2022-02-10 00:12:00+00:00,44309.3125,44309.3125,44309.3125,44309.3125
2022-02-10 00:13:00+00:00,44324.82421875,44324.82421875,44324.82421875,44324.82421875
2022-02-10 00:14:00+00:00,44322.5703125,44322.5703125,44322.5703125,44322.5703125
2022-02-10 00:15:00+00:00,44278.84765625,44278.84765625,44278.84765625,44278.84765625
2022-02-10 00:16:00+00:00,44236.37109375,44236.37109375,44236.37109375,44236.37109375
2022-02-10 00:17:00+00:00,44230.16796875,44230.16796875,44230.16796875,44230.16796875
2022-02-10 00:18:00+00:00,44223.77734375,44223.77734375,44223.77734375,44223.77734375
2022-02-10 00:19:00+00:00,44166.5546875,44166.5546875,44166.5546875,44166.5546875
2022-02-10 00:20:00+00:00,44155.3203125,44155.3203125,44155.3203125,44155.3203125
2022-02-10 00:21:00+00:00,44161.1171875,44161.1171875,44161.1171875,44161.1171875
2022-02-10 00:22:00+00:00,44152.1328125,44152.1328125,44152.1328125,44152.1328125
2022-02-10 00:23:00+00:00,44163.765625,44163.765625,44163.765625,44163.765625
2022-02-10 00:24:00+00:00,44169.16015625,44169.16015625,44169.16015625,44169.16015625
2022-02-10 00:25:00+00:00,44156.7265625,44156.7265625,44156.7265625,44156.7265625
2022-02-10 00:26:00+00:00,44145.734375,44145.734375,44145.734375,44145.734375
2022-02-10 00:27:00+00:00,44145.578125,44145.578125,44145.578125,44145.578125
2022-02-10 00:28:00+00:00,44128.84375,44128.84375,44128.84375,44128.84375
2022-02-10 00:29:00+00:00,44138.1171875,44138.1171875,44138.1171875,44138.1171875
2022-02-10 00:30:00+00:00,44147.27734375,44147.27734375,44147.27734375,44147.27734375
2022-02-10 00:31:00+00:00,,,,
2022-02-10 00:32:00+00:00,44179.859375,44179.859375,44179.859375,44179.859375
2022-02-10 00:33:00+00:00,44169.42578125,44169.42578125,44169.42578125,44169.42578125
2022-02-10 00:34:00+00:00,44167.01171875,44167.01171875,44167.01171875,44167.01171875
2022-02-10 00:35:00+00:00,,,,
